records,,,,,,,,,,,,,,
4:8:2022 [anarchistposters] What Color is your Flag When it Burns? -fire-.png, Carceral Imagery: Flags  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Thin Blue Line TBL  , Elements: Fire  , Elements: miscellaneous (8),,,,,,,,,
1-marroquinposter2-web copy.jpg, Carceral Imagery: Police Imagery  , Community: Schools  , Geography: Chicago  , Violence: Police Violence,,,,,,,,,,
"2_04_2022 [ricardolevinsmorales] Minneapolice -sky, tree, police imagery-.png", Carceral Imagery: Police Imagery  , Geography: Minneapolis,,,,,,,,,,,,
2_7_2022 [culturestrike] We Made This World We Can Have Another -fire-.png, Elements: Earth  , Elements: Fire  , Elements: miscellaneous (8),,,,,,,,,,,
"2_7_2022 [jailhouse_lawyers_speak] Build Up Communities Not Jails -protest, march-.png", Community: miscellaneous (3)  , Infrastructure/Needs: miscellaneous (10)  , Slogans: No Jails/Bail,,,,,,,,,,,
"2_11_2022 [anarchistposters] This World is a Prison -earth, chain link fence-.png", Carceral Imagery: Barb Wire/Fences/Walls  , Carceral Imagery: Handcuffs  , Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Prison Imagery  , Elements: Earth  , Elements: miscellaneous (8),,,,,,,,
"2_16_2022 [sogoreatelandtrust] Protect Black Life. Protect The Sacred -fist, bird-.png", Elements: Earth  , Elements: Earth: Animals  , Elements: Earth: Animals: Birds  , Protests/Marches: Power Fist,,,,,,,,,,
"2_19_2022 [anarchistposters] Abolish the Police -chains, ACAB-.png", Carceral Imagery: Chains  , Carceral Imagery: Police Imagery,,,,,,,,,,,,
"3_03_2022 [torontoprisonersrightsproject] No More Deaths in Custody -chains, crosses-.png", Carceral Imagery: Barb Wire/Fences/Walls  , Carceral Imagery: miscellaneous (5),,,,,,,,,,,,
3_08_2022 [socialist.art] Good People Disobey Bad Laws -prison imagery-.png, Art: miscellaneous (11)  , Crime/Law Breaking,,,,,,,,,,,,
"3_11_2022 [socialist.art] Peace Doves -animal, bars-.png", Archival/Era: 1970s  , Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Prison Imagery: Bars  , Elements: Earth: Animals  , Elements: Earth: Animals: Birds  , Geography: Germany  , World-building: Peace,,,,,,,
"3_15_2022 [cindymilstein] Be Gay, Do Crime -street art-.png", Art: Graffiti  , Art: miscellaneous (11)  , Slogans: Be Gay Do Crime  , Slogans: miscellaneous (7),,,,,,,,,,
"3_16_2022 [3chordpolitics] F the Police w_ Big Bird -advertisement, street art-.png",,,,,,,,,,,,,,
"3_16_2022 [cindymilstein] Be Gay, Do Crime -sticker, sky-.png", Art: miscellaneous (11)  , Art: Stickers  ," Geography: Lansing, MI  ", Slogans: Be Gay Do Crime,,,,,,,,,,
3_18_2022 [radical.graffiti] Eat the Rich -graffiti-.png,,,,,,,,,,,,,,
"3_20_2022 [cindymilstein] No Cops, Anymore, Anywhere -poster, police imagery_-.png", Carceral Imagery: Police Imagery  , Slogans: miscellaneous (7)  , World-building: Peace,,,,,,,,,,,
"3_20_2022 [ricardolevinsmorales] Here's to New Beginnings -sky, butterfly-.png", Art: Artisits: Ricardo Levins Morales  , Art: miscellaneous (11)  , Elements: Earth  , Elements: Earth: Animals: Butterflies  , Elements: Earth: Growth  , World-building: miscellaneous (6),,,,,,,,
3_22_2022 [an.art.chy_] Abolish the Police -street art-.png, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Geography: New York City  , Slogans: miscellaneous (7),,,,,,,,,,
"3_22_2022 [an.art.chy_] ACAB -sticker, street art-.png", Art: miscellaneous (11)  , Art: Posters  , Geography: New York City  , Slogans: ACAB,,,,,,,,,,
3_23_2022 [an.art.chy_] FTP -graffiti-.png, Art: Graffiti  , Art: miscellaneous (11)  , Geography: Chicago  , Slogans: FTP  , Slogans: miscellaneous (7),,,,,,,,,
3_28_2022 [an.art.chy] Breonna T. -graffiti-.png,,,,,,,,,,,,,,
"4_1_2022 [an.art.chy_] We Want Housing, Not New Cops -street art-.png", Art: Graffiti  , Geography: New York City  , Infrastructure/Needs: miscellaneous (10)  , Slogans: miscellaneous (7)  , Slogans: No Jails/Bail,,,,,,,,,
4_7_2022 [an.art.chy_] Everybody Hates Cops Becuz Cops Hate Everybody -street art-.png, Art: Posters  , Carceral Imagery: Police Imagery  , Geography: New York City  , Slogans: miscellaneous (7),,,,,,,,,,
